dimension,auc_mean,auc_std,estimator
1,0.6988398692810456,0.07376074312958125,GaussianNB(var_smoothing=5.513856051723923e-07)
2,0.7217401960784313,0.08088199354577841,GaussianNB(var_smoothing=63.98972786207706)
3,0.7326184640522875,0.08342631708878834,GaussianNB(var_smoothing=100.0)
4,0.7824877450980392,0.08628391719126395,GaussianNB(var_smoothing=2.3249514233226356)
5,0.7914869281045752,0.08872178731786179,GaussianNB(var_smoothing=7.279730526877861)
6,0.8092933006535947,0.07442324202725836,GaussianNB(var_smoothing=2.3249514233226356)
7,0.8166462418300654,0.07909091994440576,GaussianNB(var_smoothing=0.23634359486280668)
8,0.8180351307189543,0.07551382517629465,GaussianNB(var_smoothing=0.23634359486280668)
9,0.8141135620915033,0.06603855062748432,GaussianNB(var_smoothing=0.5289772295837013)
10,0.8146241830065358,0.06769933410063404,GaussianNB(var_smoothing=0.5289772295837013)
11,0.8172916666666665,0.07063095861703922,GaussianNB(var_smoothing=0.5289772295837013)
12,0.8270098039215688,0.07400828268986218,GaussianNB(var_smoothing=1.0446765345048745)
13,0.8225980392156863,0.07500136342332281,GaussianNB(var_smoothing=1.6534053818574859)
14,0.8319158496732026,0.07251304653121417,GaussianNB(var_smoothing=0.5289772295837013)
15,0.8444158496732026,0.06951922168274748,GaussianNB(var_smoothing=2.3249514233226356)
16,0.8520506535947712,0.05917234372047327,GaussianNB(var_smoothing=0.5289772295837013)
17,0.8565563725490197,0.0609373930322266,GaussianNB(var_smoothing=0.5289772295837013)
18,0.8619076797385621,0.05834689467804477,GaussianNB(var_smoothing=0.5289772295837013)
19,0.858014705882353,0.06005922782378822,GaussianNB(var_smoothing=0.5289772295837013)
20,0.8704738562091503,0.04796937589272928,GaussianNB(var_smoothing=0.015422699774266998)
21,0.8659272875816993,0.055493941858617356,GaussianNB(var_smoothing=0.23634359486280668)
22,0.8670955882352942,0.05079292208423896,GaussianNB(var_smoothing=0.5289772295837013)
23,0.8660498366013071,0.04993393089511554,GaussianNB(var_smoothing=0.23634359486280668)
24,0.8701633986928105,0.054427020472168915,GaussianNB(var_smoothing=0.23634359486280668)
25,0.8825653594771241,0.043307654508649394,GaussianNB(var_smoothing=0.23634359486280668)
26,0.885220588235294,0.04349238366645416,GaussianNB(var_smoothing=0.23634359486280668)
27,0.8838071895424836,0.042078618425312214,GaussianNB(var_smoothing=0.15622415435528733)
28,0.8844607843137254,0.050286578870751684,GaussianNB(var_smoothing=0.23634359486280668)
29,0.8885294117647058,0.049956143459874584,GaussianNB(var_smoothing=0.5289772295837013)
30,0.8862949346405229,0.04281233332497967,GaussianNB(var_smoothing=0.5289772295837013)
31,0.8861601307189544,0.04485480429955453,GaussianNB(var_smoothing=0.5289772295837013)
32,0.8855187908496733,0.04269829067386096,GaussianNB(var_smoothing=0.5289772295837013)
33,0.8822222222222222,0.044364628807249215,GaussianNB(var_smoothing=0.5289772295837013)
34,0.8880392156862744,0.04879896147584433,GaussianNB(var_smoothing=2.3249514233226356)
35,0.8816666666666666,0.04641371723431953,GaussianNB(var_smoothing=0.5289772295837013)
36,0.8839991830065358,0.04924510379297682,GaussianNB(var_smoothing=2.3249514233226356)
37,0.8861111111111111,0.04793941937337206,GaussianNB(var_smoothing=2.3249514233226356)
38,0.8963153594771243,0.04281757365518214,GaussianNB(var_smoothing=0.5289772295837013)
39,0.8988848039215686,0.04102102155365201,GaussianNB(var_smoothing=0.5289772295837013)
40,0.893545751633987,0.03808854722942677,GaussianNB(var_smoothing=0.5289772295837013)
41,0.8948529411764706,0.037223534840025434,GaussianNB(var_smoothing=0.5289772295837013)
42,0.8982026143790851,0.03597267775396303,GaussianNB(var_smoothing=0.5289772295837013)
43,0.8975490196078433,0.037241730987922744,GaussianNB(var_smoothing=0.5289772295837013)
44,0.8984068627450981,0.041160601809154984,GaussianNB(var_smoothing=0.5289772295837013)
45,0.9043300653594771,0.0386075013732825,GaussianNB(var_smoothing=0.5289772295837013)
46,0.9076388888888888,0.0365125932714413,GaussianNB(var_smoothing=0.5289772295837013)
47,0.9076797385620914,0.034448168772124095,GaussianNB(var_smoothing=0.5289772295837013)
48,0.9055800653594771,0.03569573470606443,GaussianNB(var_smoothing=0.5289772295837013)
49,0.9050857843137254,0.04317542336979908,GaussianNB(var_smoothing=2.3249514233226356)
50,0.9076225490196078,0.03754308633731896,GaussianNB(var_smoothing=0.5289772295837013)
51,0.9062867647058823,0.03955390325064898,GaussianNB(var_smoothing=0.5289772295837013)
52,0.9069730392156862,0.036922356479366925,GaussianNB(var_smoothing=0.5289772295837013)
53,0.9114787581699346,0.03334897368715545,GaussianNB(var_smoothing=0.5289772295837013)
54,0.9162254901960785,0.03572022493837947,GaussianNB(var_smoothing=2.3249514233226356)
55,0.916078431372549,0.03092355984459655,GaussianNB(var_smoothing=0.5289772295837013)
56,0.9182475490196078,0.03465283363724109,GaussianNB(var_smoothing=0.5289772295837013)
57,0.9190196078431372,0.03551600925150602,GaussianNB(var_smoothing=2.3249514233226356)
58,0.9163643790849673,0.03620776498759721,GaussianNB(var_smoothing=2.3249514233226356)
59,0.9170588235294117,0.03905402749973122,GaussianNB(var_smoothing=2.3249514233226356)
60,0.9184885620915033,0.038913477596151304,GaussianNB(var_smoothing=2.3249514233226356)
61,0.9177655228758169,0.039633836040347425,GaussianNB(var_smoothing=2.3249514233226356)
62,0.9191135620915032,0.040172161180115754,GaussianNB(var_smoothing=2.3249514233226356)
63,0.9190727124183006,0.038536917680758925,GaussianNB(var_smoothing=2.3249514233226356)
64,0.9210743464052287,0.03759390098351481,GaussianNB(var_smoothing=2.3249514233226356)
65,0.921156045751634,0.040262406294389666,GaussianNB(var_smoothing=2.3249514233226356)
66,0.9224632352941177,0.038853955524626456,GaussianNB(var_smoothing=7.279730526877861)
67,0.9264787581699346,0.03916758095927736,GaussianNB(var_smoothing=7.279730526877861)
68,0.9237704248366013,0.03584848925936578,GaussianNB(var_smoothing=2.3249514233226356)
69,0.925829248366013,0.0360040317975414,GaussianNB(var_smoothing=2.3249514233226356)
70,0.9232026143790849,0.0361241399912945,GaussianNB(var_smoothing=2.3249514233226356)
71,0.9238970588235293,0.037826466528289505,GaussianNB(var_smoothing=2.3249514233226356)
72,0.9238684640522875,0.03770575773786504,GaussianNB(var_smoothing=2.3249514233226356)
73,0.9220343137254903,0.04097329415575605,GaussianNB(var_smoothing=2.3249514233226356)
74,0.9246200980392156,0.039377576593911584,GaussianNB(var_smoothing=2.3249514233226356)
75,0.9226593137254901,0.042149499858932044,GaussianNB(var_smoothing=2.3249514233226356)
76,0.9220057189542483,0.04211065215210209,GaussianNB(var_smoothing=2.3249514233226356)
