dimension,auc_mean,auc_std,estimator
1,0.6778492647058824,0.07425363949815608,"RandomForestClassifier(ccp_alpha=0.04039732228776147, max_depth=27,
                       max_leaf_nodes=188, n_estimators=1000, random_state=42)"
2,0.7366911764705881,0.07774776507017847,"RandomForestClassifier(ccp_alpha=0.029356949300458946, criterion='entropy',
                       max_depth=5, max_leaf_nodes=194, min_samples_leaf=9,
                       min_samples_split=30, n_estimators=557, random_state=42)"
3,0.7459558823529411,0.06715006654621367,"RandomForestClassifier(ccp_alpha=0.005122974926281084, criterion='entropy',
                       max_depth=31, max_leaf_nodes=200, min_samples_leaf=10,
                       min_samples_split=9, n_estimators=221, random_state=42)"
4,0.7449305555555557,0.08131766737087578,"RandomForestClassifier(ccp_alpha=7.135556077456928e-06, criterion='entropy',
                       max_depth=75, max_leaf_nodes=50, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
5,0.766593137254902,0.05863096488055957,"RandomForestClassifier(ccp_alpha=1.0758920418106881e-09, max_depth=5,
                       max_leaf_nodes=50, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
6,0.8282393790849673,0.06346420807672731,"RandomForestClassifier(ccp_alpha=0.013303315276032004, criterion='entropy',
                       max_depth=92, max_leaf_nodes=170, min_samples_leaf=6,
                       min_samples_split=5, n_estimators=325, random_state=42)"
7,0.8199550653594772,0.05502886526206613,"RandomForestClassifier(ccp_alpha=1.8506844356766273e-05, criterion='entropy',
                       max_depth=23, max_leaf_nodes=64, min_samples_leaf=9,
                       min_samples_split=23, n_estimators=68, random_state=42)"
8,0.8225285947712418,0.04426307145057067,"RandomForestClassifier(ccp_alpha=1e-10, criterion='entropy', max_depth=5,
                       max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=10, random_state=42)"
9,0.8155310457516339,0.05270872384627788,"RandomForestClassifier(ccp_alpha=1.2798665568286833e-06, max_depth=5,
                       max_leaf_nodes=106, min_samples_split=30,
                       n_estimators=762, random_state=42)"
10,0.8140482026143792,0.05109527826775736,"RandomForestClassifier(ccp_alpha=0.007257982190687458, max_depth=150,
                       max_leaf_nodes=200, min_samples_split=30,
                       n_estimators=1000, random_state=42)"
