,Schneider.Xr.A,Schneider.Xr.R,Schneider.Xr.N,Schneider.Xr.D,Schneider.Xr.C,Schneider.Xr.Q,Schneider.Xr.E,Schneider.Xr.G,Schneider.Xr.H,Schneider.Xr.I,Schneider.Xr.L,Schneider.Xr.K,Schneider.Xr.M,Schneider.Xr.F,Schneider.Xr.P,Schneider.Xr.S,Schneider.Xr.T,Schneider.Xr.W,Schneider.Xr.Y,Schneider.Xr.V,Grantham.Xr.A,Grantham.Xr.R,Grantham.Xr.N,Grantham.Xr.D,Grantham.Xr.C,Grantham.Xr.Q,Grantham.Xr.E,Grantham.Xr.G,Grantham.Xr.H,Grantham.Xr.I,Grantham.Xr.L,Grantham.Xr.K,Grantham.Xr.M,Grantham.Xr.F,Grantham.Xr.P,Grantham.Xr.S,Grantham.Xr.T,Grantham.Xr.W,Grantham.Xr.Y,Grantham.Xr.V,Schneider.Xd.1,Schneider.Xd.2,Schneider.Xd.3,Schneider.Xd.4,Schneider.Xd.5,Grantham.Xd.1,Grantham.Xd.2,Grantham.Xd.3,Grantham.Xd.4,Grantham.Xd.5
sp|P46081|BXCN_CBCP,0.023428221878697805,0.023428221878697805,0.13213517139585562,0.07122179451124133,0.011245546501774947,0.03467376838047275,0.06653615013550176,0.04123367050650814,0.0028113866254437367,0.11995249601893276,0.09746140301538286,0.08809011426390374,0.014056933127218684,0.06466189238520595,0.03467376838047275,0.1002727896408266,0.057164861384022644,0.012182675376922858,0.07215892338638924,0.053416345883431,7.663087631805683e-07,7.663087631805683e-07,4.321981424338405e-06,2.3295786400689274e-06,3.6782820632667274e-07,1.134136969507241e-06,2.1763168874328137e-06,1.3487034231978001e-06,9.195705158166819e-08,3.923500867484509e-06,3.1878444548311637e-06,2.8813209495589366e-06,4.5978525790834094e-07,2.1150121863783684e-06,1.134136969507241e-06,3.279801506412832e-06,1.8697933821605864e-06,3.9848055685389546e-07,2.36023099059615e-06,1.7471839800516956e-06,0.19724847220031794,0.20576407654149462,0.195068799932531,0.1951842715468337,0.2057972509036748,0.19666758066867215,0.20604126870017528,0.20117125390076065,0.1973825927232454,0.19873727335479602
sp|P18640|BXC_CBCP,0.039170975021639465,0.044393771691191394,0.13056991673879823,0.07050775503895104,0.005222796669551929,0.029595847794127595,0.061803093923031155,0.05222796669551929,0.00870466111591988,0.11141966228377448,0.08182381448964689,0.073119153373727,0.020891186678207715,0.06267356003462314,0.03830050891004748,0.08530567893601483,0.06963728892735904,0.012186525562287834,0.06528495836939911,0.06093262781143917,1.3396562528388618e-06,1.5182770865507101e-06,4.465520842796206e-06,2.4113812551099514e-06,1.7862083371184823e-07,1.01218472436714e-06,2.113679865590204e-06,1.7862083371184823e-06,2.977013895197471e-07,3.8105777858527625e-06,2.7983930614856225e-06,2.5006916719658755e-06,7.144833348473929e-07,2.143450004542179e-06,1.3098861138868872e-06,2.9174736172935214e-06,2.3816111161579766e-06,4.167819453276459e-07,2.232760421398103e-06,2.0839097266382296e-06,0.20541380687846914,0.20666164703388634,0.1962685558583027,0.19341842479346114,0.1973670993242888,0.1997167877371082,0.20315014809230048,0.20049811991897223,0.19478259559679104,0.20185231888468913
sp|Q9T1V4|BP45_BPMU,0.06525836486819189,0.09244935022993853,0.048943773651143926,0.0870111531575892,0.016314591217047973,0.0435055765787946,0.06525836486819189,0.10332574437463718,0.032629182434095946,0.06525836486819189,0.08157295608523987,0.0435055765787946,0.027190985361746627,0.016314591217047973,0.0435055765787946,0.0435055765787946,0.07613475901289055,0.0,0.0217527882893973,0.09788754730228785,2.567863276687696e-06,3.637806308640903e-06,1.925897457515772e-06,3.4238177022502616e-06,6.41965819171924e-07,1.7119088511251308e-06,2.567863276687696e-06,4.065783521422186e-06,1.283931638343848e-06,2.567863276687696e-06,3.2098290958596202e-06,1.7119088511251308e-06,1.0699430319532067e-06,6.41965819171924e-07,1.7119088511251308e-06,1.7119088511251308e-06,2.995840489468979e-06,0.0,8.559544255625654e-07,3.851794915031544e-06,0.19688188191093745,0.19899096156691531,0.17883802559783837,0.21714050924011546,0.2027104246118441,0.20161321730585777,0.19517044834464836,0.20243311465124353,0.19835374285331553,0.20242926285632848
sp|Q859P9|RPOLV_BPN4,0.1290694764584059,0.05091434121600434,0.068426280232974,0.059994605891470085,0.0,0.060967491392412844,0.07783084007542065,0.0736150029046687,0.014268987347160453,0.05967031072448917,0.09793714042823765,0.07166923190278318,0.037293944202805726,0.03242951669809194,0.0418340765405386,0.07102064156882135,0.07329070773768778,0.0064859033396183876,0.029510860195263663,0.0788037255763634,4.926437275078122e-06,1.9433433472041835e-06,2.6117544347775972e-06,2.2899268740941017e-06,0.0,2.3270608234037357e-06,2.9707159447707267e-06,2.809802164428979e-06,5.446312565412999e-07,2.2775488909908904e-06,3.738150897169831e-06,2.735534265809711e-06,1.4234680568693065e-06,1.237798310321136e-06,1.5967598203142656e-06,2.7107782996032883e-06,2.7974241813257676e-06,2.4755966206422725e-07,1.1263964623922339e-06,3.0078498940803607e-06,0.2003982511338244,0.20968187109320546,0.19687294328306099,0.19122364104905207,0.20149899827387613,0.2040144868943524,0.21806495831850348,0.1923625715240092,0.187666265710786,0.1978917051743658
sp|Q38305|TMP_BPLC2,0.11506116397520506,0.031230887364698517,0.08218654569657505,0.06574923655726003,0.0,0.07561162204084905,0.05259938924580803,0.12656728037272558,0.004931192741794503,0.05424312015973953,0.10191131666375305,0.10026758574982156,0.03944954193435602,0.04273700376221903,0.008218654569657504,0.09533639300802706,0.07889908386871204,0.008218654569657504,0.016437309139315008,0.06081804381546554,4.056217905356905e-06,1.100973431454017e-06,2.8972985038263606e-06,2.3178388030610888e-06,0.0,2.665514623520252e-06,1.8542710424488709e-06,4.461839695892596e-06,1.7383791022958165e-07,1.912217012525398e-06,3.592650144744687e-06,3.5347041746681602e-06,1.3907032818366532e-06,1.5065952219897076e-06,2.897298503826361e-07,3.3608662644385783e-06,2.7814065636733064e-06,2.897298503826361e-07,5.794597007652722e-07,2.144000892831507e-06,0.20638448247139574,0.21674110085685822,0.18452587345300644,0.18371267621101553,0.20699213609379258,0.21122123131072248,0.22138750408482874,0.1860987270110591,0.17007063990401133,0.2112218397434083
sp|Q9T1W6|TERL_BPMU,0.0997989434775608,0.08686204339713624,0.042506957407109226,0.07946952906546507,0.01478502866334234,0.042506957407109226,0.07207701473379391,0.07207701473379391,0.020329414412095716,0.060988243236287154,0.09240642914588962,0.04435508599002702,0.020329414412095716,0.04435508599002702,0.04620321457294481,0.038810700241273643,0.04065882882419143,0.020329414412095716,0.03141818590960247,0.048051343155862604,3.77435481074022e-06,3.2850865945331543e-06,1.607595567537501e-06,3.0055047567005455e-06,5.591636756652178e-07,1.607595567537501e-06,2.725922918867937e-06,2.725922918867937e-06,7.688500540396744e-07,2.3065501621190233e-06,3.4947729729076112e-06,1.6774910269956532e-06,7.688500540396744e-07,1.6774910269956532e-06,1.7473864864538056e-06,1.4678046486211967e-06,1.5377001080793489e-06,7.688500540396744e-07,1.1882228107885877e-06,1.8172819459119578e-06,0.19549884217747496,0.21250836341713192,0.20370310725442803,0.19476569141676,0.19167586715128718,0.20194182167557448,0.2143651105351259,0.19958187138242944,0.1944703465367953,0.18964077997461537
sp|P10310|TERL_BPT3,0.07374801803100908,0.06655308944261795,0.03957210723615121,0.07914421447230242,0.008993660735488912,0.03957210723615121,0.07914421447230242,0.06835182158971573,0.02338351791227117,0.05396196441293347,0.1133201252671603,0.055760696560031256,0.02877971435356452,0.05036450011873791,0.05036450011873791,0.05396196441293347,0.048565767971640125,0.01618858932388004,0.034175910794857864,0.07015055373681352,2.8295685636036808e-06,2.5535130939838094e-06,1.5183050829092921e-06,3.0366101658185843e-06,3.450693370248391e-07,1.5183050829092921e-06,3.0366101658185843e-06,2.6225269613887773e-06,8.971802762645816e-07,2.0704160221490346e-06,4.347873646512973e-06,2.1394298895540024e-06,1.1042218784794851e-06,1.932388287339099e-06,1.932388287339099e-06,2.0704160221490346e-06,1.863374419934131e-06,6.211248066447104e-07,1.3112634806943886e-06,2.691540828793745e-06,0.19742312409468907,0.19689277061921578,0.20023705167194808,0.2052091043748575,0.19843921709219167,0.1997084647199212,0.20197650195138436,0.20332406672633377,0.1944378756662038,0.2005530219222895
sp|P36693|TERL_BPP21,0.08162248016834105,0.06203308492793919,0.032648992067336416,0.05713573611783873,0.01958939524040185,0.029384092860602777,0.07999003056497422,0.07346023215150695,0.021221844843768673,0.05223838730773827,0.08325492977170787,0.0701953329447733,0.026119193653869135,0.037546340877436885,0.05387083691110509,0.06040063532457238,0.06203308492793919,0.029384092860602777,0.0391787904808037,0.07672513135824058,3.0169369937749425e-06,2.2928721152689565e-06,1.2067747975099771e-06,2.11185589564246e-06,7.240648785059862e-07,1.0860973177589794e-06,2.9565982538994436e-06,2.7152432943974486e-06,7.844036183814851e-07,1.9308396760159633e-06,3.0772757336504414e-06,2.594565814646451e-06,9.654198380079817e-07,1.3877910171364737e-06,1.991178415891462e-06,2.2325333753934577e-06,2.2928721152689565e-06,1.0860973177589794e-06,1.4481297570119724e-06,2.8359207741484463e-06,0.19529626689563703,0.2001291608818231,0.20054974927875846,0.2043355394834071,0.1980568338570074,0.193650186336588,0.20096939616096576,0.20239794599688815,0.20104246637495501,0.20193994479186317
sp|P03729|TIPK_LAMBD,0.07922751566548498,0.08450935004318398,0.026409171888494995,0.06866384691008698,0.03169100626619399,0.04753650939929099,0.058100178154688986,0.07394568128778599,0.06338201253238798,0.03169100626619399,0.11620035630937797,0.015845503133096996,0.015845503133096996,0.036972840643892994,0.05281834377698999,0.058100178154688986,0.04753650939929099,0.04753650939929099,0.036972840643892994,0.058100178154688986,2.711828126502805e-06,2.8926166682696584e-06,9.039427088342682e-07,2.3502510429690974e-06,1.084731250601122e-06,1.627096875901683e-06,1.98867395943539e-06,2.531039584735951e-06,2.169462501202244e-06,1.084731250601122e-06,3.97734791887078e-06,5.42365625300561e-07,5.42365625300561e-07,1.2655197923679755e-06,1.8078854176685364e-06,1.98867395943539e-06,1.627096875901683e-06,1.627096875901683e-06,1.2655197923679755e-06,1.98867395943539e-06,0.1832949226893414,0.21376211472563633,0.20007445749103892,0.19427586692424625,0.2033108037920381,0.18263638145225267,0.2189462233635202,0.20457507099566036,0.19592524321482524,0.19791690018519978
sp|Q05271|VG58_BPML5,0.07941383914718145,0.11117937480605403,0.039706919573590724,0.04764830348830887,0.03176553565887258,0.01588276782943629,0.0714724552324633,0.08735522306189959,0.039706919573590724,0.05558968740302701,0.03176553565887258,0.039706919573590724,0.01588276782943629,0.023824151744154434,0.11117937480605403,0.0714724552324633,0.039706919573590724,0.023824151744154434,0.023824151744154434,0.0714724552324633,3.0152368966096375e-06,4.221331655253492e-06,1.5076184483048188e-06,1.8091421379657823e-06,1.206094758643855e-06,6.030473793219275e-07,2.7137132069486737e-06,3.3167605862706013e-06,1.5076184483048188e-06,2.110665827626746e-06,1.206094758643855e-06,1.5076184483048188e-06,6.030473793219275e-07,9.045710689828912e-07,4.221331655253492e-06,2.7137132069486737e-06,1.5076184483048188e-06,9.045710689828912e-07,9.045710689828912e-07,2.7137132069486737e-06,0.2056669056480564,0.1989493882618952,0.1982275561709669,0.18006183502995507,0.2091529309744083,0.21735712073822647,0.19613633574542233,0.2036371898112733,0.17973269321864177,0.20313635896274645
